"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,,,,,,
"World Fertility Data 2012
AGE-SPECIFIC FERTILITY RATES, TOTAL FERTILITY AND MEAN AGE AT CHILDBEARING

Copyright © 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference ,,Total fertility,Age-specific fertility rates,,,,,,,Mean age at childbearing ,Source type,Source,Survey name,Note on country or population,Note on age,Note on methods,Note on population data used in denominator,
,,,Year,Period,,15-19,20-24,25-29,30-34,35-39,40-44,45-49,,,,,,,,,
Afghanistan,4,Around 1970,1973,1972-1973,8.21,168,359,355,307,235,137,81,30.0,Survey,National statistics,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,,,,,
Afghanistan,4,..,1979,,7.11,105,260,309,301,262,185,..,30.7,Census,National statistics,,,,Adjusted estimate.,,
Afghanistan,4,Around 2005,2003,2000-2005,7.52,146,333,350,289,217,143,..,30.1,Survey,DHS,Afghanistan 2010 Mortality Survey,Excluding areas in the South zone.,,Data pertain to the period of 5 to 9 years before the survey.,,
Afghanistan,4,Latest,2009,2007-2010,5.11,80,257,262,209,128,60,26,29.1,Survey,DHS,Afghanistan 2010 Mortality Survey,Excluding areas in the South zone.,,,,
Albania,8,Around 1970,1970,,5.16,39,275,266,214,146,69,22,29.7,Registration,National statistics,,,,,,
Albania,8,Around 1985,1985,,3.33,17,176,226,145,75,24,2,28.8,Registration,UNSD,,,,,,
Albania,8,Around 1995,1995,,2.86,25,172,207,112,45,10,1,27.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Albania,8,Around 2005,2005,,1.61,16,92,111,70,26,5,1,27.7,Registration,UNSD,,,,,,
Albania,8,Latest,2007,,1.33,11,70,92,61,25,5,1,28.2,Registration,UNSD,,,,,,
Algeria,12,Around 1970,1970,,7.86,113,326,357,328,263,148,37,30.4,Survey,National statistics,Algeria 1970 Enquête fécondité,,,,,
Algeria,12,Around 1985,1984,1982-1987,5.35,25,179,251,259,216,110,31,31.8,Survey,National statistics,Algeria 1986-1987 Enquête nationale sur la fécondité,,,,,
Algeria,12,Around 1995,1990,1987-1992,4.38,21,143,214,220,164,92,23,31.7,Survey,PAPCHILD,Algeria 1992 Enquête sur la santé de la mère et de l'enfant,,,,,
Algeria,12,Around 2005,2000,1997-2002,2.38,6,59,119,134,105,43,9,32.1,Survey,PAPFAM,Algeria 2002 Enquête sur la santé de la famille,,,,,
Algeria,12,Latest,2008,2007-2008,2.74,9,75,139,149,118,51,8,31.8,Census,National statistics,,,,,,
American Samoa,16,Around 1970,1970,1968-1972,5.83,48,237,288,255,213,97,28,30.7,Census,National statistics,,,,Estimates based on the own-children method.,,
American Samoa,16,Around 1985,1982,,4.18,48,222,243,199,102,21,2,28.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Around 1995,1995,,3.97,56,188,238,181,104,28,0,28.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Around 2005,2005,,4.10,33,180,264,188,117,37,1,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
American Samoa,16,Latest,2006,,3.38,34,144,208,157,104,27,2,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Andorra,20,Around 1995,1995,,1.08,..,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
Andorra,20,Around 2005,2004,,1.27,5,36,69,85,46,11,1,30.8,Registration,UNSD,,,,,,
Andorra,20,Latest,2010,,1.25,4,34,75,81,45,10,1,30.8,Registration,UNSD,,,,Population statistics are compiled from registers.,,
Angola,24,Around 1970,1970,,6.70,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Angola,24,Around 1985,1983,,7.00,190,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Angola,24,Around 1995,1996,1995-1996,6.91,146,319,319,261,204,100,35,29.3,Survey,MICS,Angola 1996 Multiple Indicator Cluster Survey,,,,,
Angola,24,Around 2005,2001,2000-2001,5.79,122,270,262,217,190,62,35,29.3,Survey,MICS,Angola 2001 Multiple Indicator Cluster Survey,,,,,
Angola,24,Latest,2005,2003-2006,5.80,166,244,272,231,164,68,16,28.6,Survey,DHS,Angola 2006-2007 Malaria Indicators Survey (MIS),,,,,
Anguilla,660,Around 1985,1984,,2.91,102,153,147,112,41,26,0,26.8,Census,National statistics,,,,,,
Anguilla,660,Around 1995,1992,,1.84,48,103,111,74,28,5,0,26.7,Census,National statistics,,,,,,
Anguilla,660,Around 2005,2005,,1.44,33,76,77,57,34,10,,27.8,Registration,UNSD,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
Anguilla,660,Latest,2006,,1.54,43,93,71,51,44,7,..,27.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1970,1972,,2.68,102,146,114,77,69,25,4,27.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1985,1985,,1.86,74,110,94,57,31,5,0,25.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Antigua and Barbuda,28,Around 1995,1995,,2.20,70,115,107,83,54,12,0,27.2,Registration,UNSD,,,,,,
Antigua and Barbuda,28,Around 2005,2000,,2.36,59,115,112,101,65,17,3,28.1,Registration,CARICOM,,,,,,
Antigua and Barbuda,28,Latest,2001,,2.01,67,94,88,79,56,19,1,27.8,Registration,CARICOM,,,,,,
Argentina,32,Around 1970,1970,,3.07,65,157,170,118,71,27,6,28.1,Registration,UNSD,,,,,,
Argentina,32,Around 1985,1985,,2.96,73,158,160,113,64,21,4,27.6,Registration,UNSD,,,,,,
Argentina,32,Around 1995,1995,,2.56,64,129,136,107,58,18,2,27.8,Registration,UNSD,,,,,,
Argentina,32,Around 2005,2005,,2.38,64,113,113,105,61,19,1,28.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Argentina,32,Latest,2010,,2.38,68,113,112,101,63,18,1,27.9,Registration,UNSD,,,,,,
Armenia,51,Around 1970,1970,,3.16,41,216,169,115,66,21,5,27.8,Registration,Eurostat,,,,,,
Armenia,51,Around 1985,1985,,2.52,57,233,131,60,19,4,1,25.2,Registration,UNSD,,,,,,
Armenia,51,Around 1995,1995,,1.63,56,142,74,35,15,3,0,24.8,Registration,UNSD,,,,,,
Armenia,51,Around 2005,2005,,1.37,27,122,78,32,11,2,0,25.4,Registration,National statistics,,,,,,
Armenia,51,Latest,2010,,1.56,28,123,97,45,15,3,0,26.0,Registration,National statistics,,,,,,
Aruba,533,Around 1970,1972,,2.53,40,131,148,107,54,23,2,28.3,Registration,National statistics,,,,,,
Aruba,533,Around 1985,1981,,1.94,39,118,118,75,30,6,1,27.0,Registration,National statistics,,,,,,
Aruba,533,Around 1995,1995,,2.08,48,119,111,87,43,7,0,27.2,Registration,UNSD,,,,,,
Aruba,533,Around 2005,2005,,1.74,39,102,99,62,37,7,1,27.2,Registration,National statistics,,,,,,
Aruba,533,Latest,2010,,1.61,40,92,86,68,29,8,0,27.2,Registration,UNSD,,,,,,
